Area Name,Area Type,Year,Month,Date_Numeric,Seasonally Adjusted(Y/N),Status,Labor Force,Employment,Unemployment,Unemployment Rate,Benchmark
Healdsburg city,Sub-County Place,2010,September,09/2010,N,Final,5500,4800,600,11.8,2023
Tehama County,County,2004,August,08/2004,N,Final,25740,24010,1730,6.7,2021
Mission Viejo city,Sub-County Place,2023,November,11/2023,N,Final,48900,47000,1800,3.7,2023
Mission Viejo city,Sub-County Place,2016,August,08/2016,N,Final,49800,47500,2200,4.5,2023
East Oakdale CDP,Sub-County Place,2016,May,05/2016,N,Final,1000,900,100,5.3,2023
Cayucos CDP,Sub-County Place,2014,November,11/2014,N,Final,1000,1000,0,2.3,2023
Soquel CDP,Sub-County Place,2010,June,06/2010,N,Final,5800,5300,500,8.6,2023
Delano city,Sub-County Place,2020,July,07/2020,N,Final,19900,15300,4600,23.3,2023
Arcadia city,Sub-County Place,2014,February,02/2014,N,Final,28000,26600,1400,5.1,2023
La Habra city,Sub-County Place,2010,January,01/2010,N,Final,30400,26800,3600,11.8,2023
Live Oak city,Sub-County Place,2017,March,03/2017,N,Final,3700,3500,300,7.4,2023
Piedmont city,Sub-County Place,2010,March,03/2010,N,Final,4900,4300,600,11.7,2023
Buttonwillow CDP,Sub-County Place,2018,February,02/2018,N,Final,400,300,0,11.7,2023
San Jose-Sunnyvale-Santa Clara MSA,Metropolitan Area,2009,March,03/2009,N,Final,906900,809400,97600,10.8,2021
Arvin city,Sub-County Place,2012,April,04/2012,N,Final,7900,6500,1400,18.1,2023
South Whittier CDP,Sub-County Place,2019,September,09/2019,N,Final,30000,29000,1000,3.3,2023
Manteca city,Sub-County Place,2012,July,07/2012,N,Final,33900,28800,5100,15.1,2023
Mesa Vista CDP,Sub-County Place,2016,November,11/2016,N,Final,90,90,0,2.1,2023
Placer County,County,2004,November,11/2004,N,Final,159000,151900,7100,4.4,2023
Sonoma County,County,1999,November,11/1999,N,Final,250800,244600,6200,2.5,2021
Plumas County,County,2003,November,11/2003,N,Final,10280,9250,1040,10.1,2021
Bradley CDP,Sub-County Place,2011,November,11/2011,N,Final,0,0,0,0.0,2023
Lewiston CDP,Sub-County Place,2017,November,11/2017,N,Final,600,580,20,3.4,2023
Mokelumne Hill CDP,Sub-County Place,2021,October,10/2021,N,Final,440,440,0,0.0,2023
Challenge Brownsville CDP,Sub-County Place,2012,May,05/2012,N,Final,200,200,0,7.0,2023
Santa Clara city,Sub-County Place,2011,August,08/2011,N,Final,61900,56600,5400,8.7,2023
Hacienda Heights CDP,Sub-County Place,2020,August,08/2020,N,Final,26200,22600,3600,13.8,2023
Napa MSA,Metropolitan Area,2006,December,12/2006,N,Final,70800,68000,2800,4.0,2021
Onyx CDP,Sub-County Place,2014,September,09/2014,N,Final,200,200,0,18.0,2023
Ivanhoe CDP,Sub-County Place,2021,April,04/2021,N,Final,1800,1600,200,10.7,2023
Chico city,Sub-County Place,2023,December,12/2023,N,Final,51800,49600,2300,4.4,2023
Albany city,Sub-County Place,2023,December,12/2023,N,Final,9400,9100,200,2.6,2023
Inyo County,County,1996,January,01/1996,N,Final,7000,6260,740,10.5,2021
San Diego city,Sub-County Place,2012,December,12/2012,N,Final,689100,634300,54800,7.9,2023
Citrus CDP,Sub-County Place,2012,August,08/2012,N,Final,5300,4800,500,10.2,2023
Loma Linda city,Sub-County Place,2017,July,07/2017,N,Final,11400,10800,600,5.5,2023
San Francisco County,County,2006,June,06/2006,N,Final,413400,395400,17900,4.3,2023
Weedpatch CDP,Sub-County Place,2012,July,07/2012,N,Final,1200,800,400,34.3,2023
Huron city,Sub-County Place,2019,March,03/2019,N,Final,2700,2200,500,18.6,2023
Mountain View Acres CDP,Sub-County Place,2016,October,10/2016,N,Final,1000,900,100,8.7,2023
Anaheim-Santa Ana-Irvine MD,Metropolitan Area,1991,April,04/1991,N,Final,1320500,1256900,63600,4.8,2021
San Fernando city,Sub-County Place,2011,February,02/2011,N,Final,11400,10300,1100,9.6,2023
Benicia city,Sub-County Place,2019,August,08/2019,N,Final,14700,14300,400,2.9,2023
San Clemente city,Sub-County Place,2011,September,09/2011,N,Final,31200,28700,2400,7.7,2023
Loma Rica CDP,Sub-County Place,2010,January,01/2010,N,Final,900,700,200,24.5,2023
Hollister city,Sub-County Place,2023,December,12/2023,N,Final,20700,19200,1500,7.2,2023
Point Reyes Station CDP,Sub-County Place,2021,October,10/2021,N,Final,100,100,0,0.0,2023
Valinda CDP,Sub-County Place,2012,May,05/2012,N,Final,11100,9900,1100,10.0,2023
Shafter city,Sub-County Place,2013,November,11/2013,N,Final,8200,7500,700,8.6,2023
Carpinteria city,Sub-County Place,2019,April,04/2019,N,Final,7000,6800,200,3.3,2023
McKittrick CDP,Sub-County Place,2018,June,06/2018,N,Final,0,0,0,4.2,2023
Valley Ranch CDP,Sub-County Place,2021,June,06/2021,N,Final,0,0,0,0.0,2023
Murrieta city,Sub-County Place,2012,February,02/2012,N,Final,49300,44300,5000,10.1,2023
Pacific Grove city,Sub-County Place,2010,October,10/2010,N,Final,8000,7200,800,10.4,2023
Escalon city,Sub-County Place,2011,February,02/2011,N,Final,3100,2500,600,19.1,2023
Discovery Bay CDP,Sub-County Place,2015,March,03/2015,N,Final,7300,6900,400,5.6,2023
Fontana city,Sub-County Place,2011,July,07/2011,N,Final,91000,77300,13700,15.0,2023
East Shore CDP,Sub-County Place,2019,May,05/2019,N,Final,50,40,0,8.7,2023
Mira Monte CDP,Sub-County Place,2017,December,12/2017,N,Final,3200,3000,200,6.4,2023
