Area Name,Area Type,Year,Month,Date_Numeric,Seasonally Adjusted(Y/N),Status,Labor Force,Employment,Unemployment,Unemployment Rate,Benchmark
Mountain View CDP,Sub-County Place,2015,May,05/2015,N,Final,1000,1000,0,0.8,2023
Mendocino County,County,2010,May,05/2010,N,Final,41940,37270,4670,11.1,2023
Clyde CDP,Sub-County Place,2017,August,08/2017,N,Final,300,300,0,0.0,2023
Marin County,County,2000,October,10/2000,N,Final,143000,139200,3800,2.6,2021
Lassen County,County,2006,April,04/2006,N,Final,11920,10770,1150,9.7,2021
Farmington CDP,Sub-County Place,2019,August,08/2019,N,Final,100,100,0,0.0,2023
Las Flores CDP,Sub-County Place,2012,April,04/2012,N,Final,2600,2500,200,5.8,2023
Pismo Beach city,Sub-County Place,2010,September,09/2010,N,Final,3800,3700,200,4.8,2023
El Granada CDP,Sub-County Place,2021,March,03/2021,N,Final,3400,3000,300,9.6,2023
San Pablo city,Sub-County Place,2020,August,08/2020,N,Final,13700,11900,1800,13.2,2023
Auburn city,Sub-County Place,2024,January,01/2024,N,Final,6400,6200,300,4.1,2023
San Francisco-Redwood City-South San Francisco MD,Metropolitan Area,1998,October,10/1998,N,Final,811400,786600,24800,3.1,2021
Sonoma County,County,2006,February,02/2006,N,Final,251300,240400,10900,4.4,2021
Monterey city,Sub-County Place,2022,October,10/2022,N,Final,15900,15400,400,2.7,2023
Greenhorn CDP,Sub-County Place,2018,March,03/2018,N,Final,80,80,0,0.0,2023
Kings County,County,1999,November,11/1999,N,Final,42900,37800,5100,11.8,2021
Kern County,County,1997,May,05/1997,N,Final,278400,249000,29400,10.6,2021
Mountain View Acres CDP,Sub-County Place,2021,February,02/2021,N,Final,1000,900,100,13.0,2023
Westminster city,Sub-County Place,2022,July,07/2022,N,Final,40500,39100,1400,3.5,2023
El Rio CDP,Sub-County Place,2016,July,07/2016,N,Final,3000,2600,400,12.4,2023
Santa Maria city,Sub-County Place,2017,March,03/2017,N,Final,49800,44800,5000,10.0,2023
Oxnard-Thousand Oaks-Ventura MSA,Metropolitan Area,1998,January,01/1998,N,Final,381000,357500,23400,6.2,2021
Truckee town,Sub-County Place,2018,November,11/2018,N,Final,9480,9150,330,3.5,2023
Rancho Cucamonga city,Sub-County Place,2014,December,12/2014,N,Final,91700,87200,4500,5.0,2023
Santa Cruz County,County,1997,September,09/1997,N,Final,139400,131900,7500,5.4,2021
Soulsbyville CDP,Sub-County Place,2019,November,11/2019,N,Final,970,910,60,5.9,2023
Culver City city,Sub-County Place,2012,August,08/2012,N,Final,21800,19900,1800,8.5,2023
Oakhurst CDP,Sub-County Place,2020,September,09/2020,N,Final,2500,2300,200,7.0,2023
Piedmont city,Sub-County Place,2012,August,08/2012,N,Final,5000,4500,500,9.3,2023
Ashland CDP,Sub-County Place,2014,March,03/2014,N,Final,11100,10100,900,8.3,2023
California,State,2017,May,05/2017,N,Final,19137100,18285800,851300,4.4,2023
Irvine city,Sub-County Place,2019,June,06/2019,N,Final,149400,145100,4300,2.8,2023
Stratford CDP,Sub-County Place,2020,October,10/2020,N,Final,400,400,0,5.1,2023
Lake County,County,2022,August,08/2022,N,Final,28270,26960,1310,4.6,2023
Waterford city,Sub-County Place,2024,September,09/2024,N,Preliminary,3900,3700,200,5.6,2023
Bonita CDP,Sub-County Place,2011,December,12/2011,N,Final,6100,5400,700,11.6,2023
Contra Costa County,County,2008,October,10/2008,N,Final,528300,491600,36700,6.9,2023
El Dorado County,County,2015,February,02/2015,N,Final,87700,82100,5600,6.4,2023
Cotati city,Sub-County Place,2018,November,11/2018,N,Final,4400,4300,100,2.4,2023
Oakdale city,Sub-County Place,2018,February,02/2018,N,Final,10500,9600,900,8.3,2023
Saratoga city,Sub-County Place,2020,October,10/2020,N,Final,14200,13500,600,4.6,2023
Pinole city,Sub-County Place,2023,April,04/2023,N,Final,9400,9200,200,2.3,2023
Challenge Brownsville CDP,Sub-County Place,2010,July,07/2010,N,Final,200,200,0,8.1,2023
Hidden Hills city,Sub-County Place,2015,March,03/2015,N,Final,900,900,0,4.6,2023
Stratford CDP,Sub-County Place,2022,February,02/2022,N,Final,400,400,0,4.9,2023
Oroville East CDP,Sub-County Place,2021,December,12/2021,N,Final,2800,2700,200,5.7,2023
China Lake Acres CDP,Sub-County Place,2014,September,09/2014,N,Final,1300,1100,100,9.7,2023
Huron city,Sub-County Place,2012,March,03/2012,N,Final,2900,1900,900,32.6,2023
Home Gardens CDP,Sub-County Place,2021,June,06/2021,N,Final,6000,5700,300,5.0,2023
Burney CDP,Sub-County Place,2023,August,08/2023,N,Final,1000,900,100,10.2,2023
Manteca city,Sub-County Place,2010,May,05/2010,N,Final,33600,28300,5300,15.9,2023
Morongo Valley CDP,Sub-County Place,2024,May,05/2024,N,Final,1500,1400,100,5.7,2023
Bucks Lake CDP,Sub-County Place,2013,February,02/2013,N,Final,20,20,0,0.0,2023
Cypress city,Sub-County Place,2010,June,06/2010,N,Final,23700,22000,1600,7.0,2023
Monterey County,County,2003,October,10/2003,N,Final,209400,196000,13400,6.4,2021
Westmont CDP,Sub-County Place,2023,October,10/2023,N,Final,15000,13700,1300,8.4,2023
Norco city,Sub-County Place,2017,December,12/2017,N,Final,11600,11200,400,3.5,2023
Sausalito city,Sub-County Place,2011,September,09/2011,N,Final,4300,3900,400,8.7,2023
Beale AFB CDP,Sub-County Place,2012,July,07/2012,N,Final,200,200,0,17.8,2023
East Quincy CDP,Sub-County Place,2023,April,04/2023,N,Final,1070,1050,10,1.1,2023
San Diego-Carlsbad MSA,Metropolitan Area,2020,February,02/2020,N,Final,1597000,1546300,50700,3.2,2023
San Bruno city,Sub-County Place,2020,October,10/2020,N,Final,26500,24600,1900,7.3,2023
Oceano CDP,Sub-County Place,2010,February,02/2010,N,Final,3100,2900,200,6.5,2023
Arden Arcade CDP,Sub-County Place,2020,February,02/2020,N,Final,43200,41300,1800,4.3,2023
El Centro MSA,Metropolitan Area,1998,September,09/1998,N,Final,58600,39800,18700,32.0,2021
Santa Barbara County,County,1993,April,04/1993,N,Final,192300,178200,14100,7.3,2021
Rohnert Park city,Sub-County Place,2014,August,08/2014,N,Final,23000,21600,1400,6.0,2023
Valley Ranch CDP,Sub-County Place,2014,June,06/2014,N,Final,0,0,0,0.0,2023
Bellflower city,Sub-County Place,2022,October,10/2022,N,Final,35400,33500,1800,5.2,2023
Foster City city,Sub-County Place,2012,October,10/2012,N,Final,17800,16800,1000,5.6,2023
Carmel by the Sea city,Sub-County Place,2014,August,08/2014,N,Final,1900,1800,0,1.6,2023
Fresno County,County,1993,August,08/1993,N,Final,382300,333500,48800,12.8,2021
Monterey County,County,1998,July,07/1998,N,Final,186800,173600,13100,7.0,2021
East Richmond Heights CDP,Sub-County Place,2015,May,05/2015,N,Final,1800,1800,100,3.5,2023
Tulare city,Sub-County Place,2020,May,05/2020,N,Final,29000,25100,3900,13.6,2023
San Carlos city,Sub-County Place,2016,September,09/2016,N,Final,17200,16600,500,3.1,2023
Murrieta city,Sub-County Place,2019,March,03/2019,N,Final,56400,54400,2000,3.6,2023
Kings County,County,1991,October,10/1991,N,Final,38100,33500,4700,12.2,2021
Idyllwild Pine Cove CDP,Sub-County Place,2010,January,01/2010,N,Final,1100,900,200,18.8,2023
Richmond city,Sub-County Place,2021,August,08/2021,N,Final,52000,47700,4200,8.1,2023
Colusa County,County,2023,December,12/2023,N,Final,10490,8820,1670,15.9,2023
Perris city,Sub-County Place,2010,June,06/2010,N,Final,28300,22700,5600,19.7,2023
Martinez city,Sub-County Place,2012,September,09/2012,N,Final,20100,18500,1500,7.7,2023
Eastvale City city,Sub-County Place,2010,August,08/2010,N,Final,25900,23300,2600,10.1,2023
Corte Madera town,Sub-County Place,2019,February,02/2019,N,Final,5300,5100,200,3.2,2023
Hilmar Irwin CDP,Sub-County Place,2020,November,11/2020,N,Final,2400,2300,100,5.7,2023
Raisin City CDP,Sub-County Place,2024,July,07/2024,N,Final,100,100,0,31.9,2023
Cameron Park CDP,Sub-County Place,2022,May,05/2022,N,Final,8600,8300,300,3.6,2023
Cotati city,Sub-County Place,2016,February,02/2016,N,Final,4300,4200,200,4.0,2023
Sutter CDP,Sub-County Place,2021,December,12/2021,N,Final,1300,1200,100,9.4,2023
Westminster city,Sub-County Place,2015,July,07/2015,N,Final,42500,39700,2800,6.7,2023
Ripon city,Sub-County Place,2024,July,07/2024,N,Final,8100,8000,200,2.4,2023
Orinda city,Sub-County Place,2010,April,04/2010,N,Final,8100,7600,500,6.3,2023
San Bernardino County,County,1991,April,04/1991,N,Final,645300,595300,50000,7.8,2023
Romoland CDP,Sub-County Place,2024,February,02/2024,N,Final,1200,1200,100,4.2,2023
Fresno County,County,2010,September,09/2010,N,Final,446900,378600,68300,15.3,2023
Eastvale City city,Sub-County Place,2015,June,06/2015,N,Final,28500,27200,1300,4.7,2023
Placer County,County,2014,June,06/2014,N,Final,175700,164500,11200,6.4,2023
Kensington CDP,Sub-County Place,2022,December,12/2022,N,Final,2500,2400,100,3.1,2023
Sonoma County,County,2005,November,11/2005,N,Final,253700,242900,10800,4.3,2021
Clovis city,Sub-County Place,2023,July,07/2023,N,Final,59000,56300,2700,4.5,2023
Forest Meadows CDP,Sub-County Place,2011,August,08/2011,N,Final,680,530,160,22.8,2023
Downey city,Sub-County Place,2022,September,09/2022,N,Final,55600,53200,2300,4.2,2023
Mayflower Village CDP,Sub-County Place,2017,May,05/2017,N,Final,2900,2800,100,2.5,2023
McFarland city,Sub-County Place,2012,March,03/2012,N,Final,5300,4600,700,14.0,2023
Orange County,County,1996,November,11/1996,N,Final,1343600,1294100,49600,3.7,2021
August CDP,Sub-County Place,2020,November,11/2020,N,Final,3500,3300,300,7.2,2023
Mission Canyon CDP,Sub-County Place,2018,December,12/2018,N,Final,1300,1300,0,0.8,2023
Mountain View CDP,Sub-County Place,2022,May,05/2022,N,Final,1100,1100,0,0.5,2023
Los Angeles County,County,1992,October,10/1992,N,Final,4430900,3992900,438100,9.9,2023
Delhi CDP,Sub-County Place,2022,April,04/2022,N,Final,4900,4500,400,7.8,2023
Los Angeles County,County,2001,June,06/2001,Y,Final,4716100,4457000,259100,5.5,2023
Gustine city,Sub-County Place,2010,October,10/2010,N,Final,2600,2000,600,23.3,2023
Chowchilla city,Sub-County Place,2021,January,01/2021,N,Final,4700,4300,400,7.7,2023
Woodlake city,Sub-County Place,2018,February,02/2018,N,Final,2800,2500,300,9.6,2023
Elkhorn CDP,Sub-County Place,2024,May,05/2024,N,Final,600,500,100,13.2,2023
Imperial County,County,2019,January,01/2019,N,Final,73500,58700,14800,20.1,2023
McCloud CDP,Sub-County Place,2021,January,01/2021,N,Final,300,280,30,8.3,2023
Ojai city,Sub-County Place,2022,February,02/2022,N,Final,3500,3400,200,4.6,2023
Plymouth city,Sub-County Place,2021,January,01/2021,N,Final,540,510,30,6.1,2023
Vine Hill CDP,Sub-County Place,2019,May,05/2019,N,Final,1700,1600,100,3.5,2023
Garden Acres CDP,Sub-County Place,2016,April,04/2016,N,Final,4300,3700,600,13.2,2023
Thousand Oaks city,Sub-County Place,2021,May,05/2021,N,Final,62000,58800,3300,5.3,2023
Hydesville CDP,Sub-County Place,2010,February,02/2010,N,Final,400,400,0,0.0,2023
Olivehurst CDP,Sub-County Place,2012,January,01/2012,N,Final,6400,5300,1100,16.9,2023
West Covina city,Sub-County Place,2024,September,09/2024,N,Preliminary,52300,49400,2900,5.6,2023
Burney CDP,Sub-County Place,2022,September,09/2022,N,Final,1000,900,100,8.1,2023
Chowchilla city,Sub-County Place,2021,August,08/2021,N,Final,4800,4500,300,6.0,2023
California,State,2020,March,03/2020,N,Final,19316800,18103300,1213500,6.3,2023
Glen Ellen CDP,Sub-County Place,2015,December,12/2015,N,Final,600,600,0,4.8,2023
Lebec CDP,Sub-County Place,2019,August,08/2019,N,Final,400,400,0,3.5,2023
Piedmont city,Sub-County Place,2014,June,06/2014,N,Final,5000,4700,300,6.1,2023
Byron CDP,Sub-County Place,2021,August,08/2021,N,Final,800,700,100,13.8,2023
Del Norte County,County,2000,December,12/2000,N,Final,9960,9230,730,7.4,2021
Contra Costa County,County,2002,October,10/2002,N,Final,512700,483100,29700,5.8,2023
Arnold CDP,Sub-County Place,2018,December,12/2018,N,Final,1010,970,50,4.4,2023
Hidden Hills city,Sub-County Place,2010,January,01/2010,N,Final,900,800,100,8.6,2023
Toro Canyon CDP,Sub-County Place,2010,April,04/2010,N,Final,700,600,100,13.2,2023
Los Altos city,Sub-County Place,2023,May,05/2023,N,Final,14700,14200,500,3.1,2023
Corralitos CDP,Sub-County Place,2014,April,04/2014,N,Final,1400,1100,300,20.5,2023
El Cerrito city,Sub-County Place,2014,March,03/2014,N,Final,12900,12100,800,6.6,2023
Huron city,Sub-County Place,2021,August,08/2021,N,Final,2600,2200,500,18.2,2023
Lake County,County,2008,June,06/2008,N,Final,24860,22420,2440,9.8,2021
Millbrae city,Sub-County Place,2017,June,06/2017,N,Final,13100,12700,400,3.1,2023
Oxnard city,Sub-County Place,2018,January,01/2018,N,Final,100300,94800,5600,5.6,2023
Point Arena city,Sub-County Place,2016,October,10/2016,N,Final,190,180,10,5.7,2023
Avery CDP,Sub-County Place,2022,December,12/2022,N,Final,170,140,30,17.6,2023
Forestville CDP,Sub-County Place,2020,October,10/2020,N,Final,2000,1900,100,4.7,2023
Sutter CDP,Sub-County Place,2019,February,02/2019,N,Final,1300,1100,200,12.5,2023
Sanger city,Sub-County Place,2021,February,02/2021,N,Final,11800,10500,1300,11.4,2023
Santa Cruz-Watsonville MSA,Metropolitan Area,1996,September,09/1996,N,Final,136600,128200,8400,6.2,2021
Kings County,County,1994,February,02/1994,N,Final,40100,32500,7600,19.0,2021
Denair CDP,Sub-County Place,2015,July,07/2015,N,Final,2400,2200,200,6.8,2023
Santee city,Sub-County Place,2021,February,02/2021,N,Final,27900,26000,1800,6.5,2023
Madera County,County,1992,March,03/1992,N,Final,45000,36300,8700,19.4,2021
Gold River CDP,Sub-County Place,2010,June,06/2010,N,Final,3300,3100,300,7.9,2023
Isleton city,Sub-County Place,2022,August,08/2022,N,Final,200,200,0,6.4,2023
Plumas County,County,2001,January,01/2001,N,Final,9380,8340,1040,11.1,2021
Placer County,County,1997,September,09/1997,N,Final,110200,105500,4700,4.3,2023
Sutter CDP,Sub-County Place,2016,July,07/2016,N,Final,1300,1200,100,10.9,2023
Rolling Hills Estates city,Sub-County Place,2010,April,04/2010,N,Final,3400,2900,400,12.4,2023
Atwater city,Sub-County Place,2024,March,03/2024,N,Final,12700,11300,1300,10.5,2023
Rancho Tehama Reserve CDP,Sub-County Place,2017,November,11/2017,N,Final,540,510,30,5.7,2023
Home Garden CDP,Sub-County Place,2022,July,07/2022,N,Final,600,500,0,6.8,2023
Johannesburg CDP,Sub-County Place,2019,November,11/2019,N,Final,0,0,0,0.0,2023
Chualar CDP,Sub-County Place,2015,November,11/2015,N,Final,600,600,0,0.0,2023
Pleasanton city,Sub-County Place,2019,August,08/2019,N,Final,40700,39500,1200,2.9,2023
San Benito County,County,2013,October,10/2013,N,Final,28800,26000,2800,9.7,2023
Whitehawk CDP,Sub-County Place,2019,November,11/2019,N,Final,10,10,0,0.0,2023
San Luis Obispo-Paso Robles-Arroyo Grande MSA,Metropolitan Area,2013,May,05/2013,N,Final,138300,129400,8900,6.5,2023
Valley Acres CDP,Sub-County Place,2017,September,09/2017,N,Final,300,200,100,24.6,2023
La Mirada city,Sub-County Place,2012,May,05/2012,N,Final,23000,21300,1800,7.7,2023
Los Angeles County,County,2003,June,06/2003,Y,Final,4742700,4405800,336900,7.1,2023
Lake Arrowhead CDP,Sub-County Place,2013,January,01/2013,N,Final,4000,3600,400,9.6,2023
Jamestown CDP,Sub-County Place,2023,June,06/2023,N,Final,1280,1220,70,5.1,2023
Rosemont CDP,Sub-County Place,2023,May,05/2023,N,Final,11800,11300,500,3.9,2023
Bishop city,Sub-County Place,2022,May,05/2022,N,Final,1900,1850,50,2.6,2023
Santa Barbara County,County,2010,January,01/2010,N,Final,207000,183900,23100,11.1,2023
Sacramento County,County,1990,September,09/1990,N,Final,521800,499100,22800,4.4,2023
Nipomo CDP,Sub-County Place,2023,October,10/2023,N,Final,8300,8000,300,3.4,2023
Bluewater CDP,Sub-County Place,2021,September,09/2021,N,Final,0,0,0,11.6,2023
Seal Beach city,Sub-County Place,2022,September,09/2022,N,Final,9700,9400,300,3.2,2023
Piedmont city,Sub-County Place,2020,July,07/2020,N,Final,5100,4500,600,12.2,2023
Valle Vista CDP,Sub-County Place,2022,June,06/2022,N,Final,8100,7700,300,4.2,2023
Hermosa Beach city,Sub-County Place,2023,December,12/2023,N,Final,11400,11000,300,3.0,2023
Mettler CDP,Sub-County Place,2018,November,11/2018,N,Final,100,100,0,3.3,2023
Banning city,Sub-County Place,2019,May,05/2019,N,Final,11000,10500,500,4.5,2023
Williams city,Sub-County Place,2024,February,02/2024,N,Final,3320,2160,1160,35.0,2023
Pleasanton city,Sub-County Place,2014,August,08/2014,N,Final,38100,36300,1800,4.8,2023
Sunol CDP,Sub-County Place,2021,June,06/2021,N,Final,400,400,0,8.7,2023
Tuolumne City CDP,Sub-County Place,2011,March,03/2011,N,Final,500,500,0,0.0,2023
Grass Valley city,Sub-County Place,2017,October,10/2017,N,Final,5940,5820,120,2.0,2023
Palmdale city,Sub-County Place,2014,July,07/2014,N,Final,64700,57000,7700,11.9,2023
Blythe city,Sub-County Place,2014,November,11/2014,N,Final,4200,3900,300,8.2,2023
Muscoy CDP,Sub-County Place,2012,October,10/2012,N,Final,3900,3200,600,16.5,2023
West Point CDP,Sub-County Place,2022,December,12/2022,N,Final,320,320,0,0.0,2023
Stockton city,Sub-County Place,2023,July,07/2023,N,Final,135900,126500,9400,6.9,2023
Siskiyou County,County,1995,September,09/1995,N,Final,18570,16400,2170,11.7,2021
Furnace Creek CDP,Sub-County Place,2015,January,01/2015,N,Final,100,90,10,5.2,2023
Bell city,Sub-County Place,2012,July,07/2012,N,Final,15500,13100,2500,15.8,2023
Santa Cruz city,Sub-County Place,2019,June,06/2019,N,Final,33900,32600,1300,3.8,2023
Littlerock CDP,Sub-County Place,2024,July,07/2024,N,Final,400,400,0,10.9,2023
Atwater city,Sub-County Place,2011,May,05/2011,N,Final,12300,10000,2400,19.1,2023
Laton CDP,Sub-County Place,2020,September,09/2020,N,Final,600,600,100,12.6,2023
Ventura County,County,2006,May,05/2006,N,Final,420600,405000,15600,3.7,2021
Tustin city,Sub-County Place,2012,August,08/2012,N,Final,41000,37900,3200,7.7,2023
Lassen County,County,2003,July,07/2003,N,Final,12540,11640,890,7.1,2021
Burbank city,Sub-County Place,2021,June,06/2021,N,Final,58500,51900,6600,11.3,2023
Alameda city,Sub-County Place,2017,December,12/2017,N,Final,41600,40300,1200,2.9,2023
Morgan Hill city,Sub-County Place,2021,September,09/2021,N,Final,24000,23100,1000,4.0,2023
Norco city,Sub-County Place,2014,June,06/2014,N,Final,11200,10400,800,6.8,2023
Tulare County,County,2002,October,10/2002,N,Final,178700,159300,19400,10.8,2021
Del Mar city,Sub-County Place,2013,May,05/2013,N,Final,2000,1900,100,3.1,2023
Irvine city,Sub-County Place,2010,May,05/2010,N,Final,108800,100900,7900,7.3,2023
Felton CDP,Sub-County Place,2018,May,05/2018,N,Final,2000,1900,100,4.8,2023
Empire CDP,Sub-County Place,2021,May,05/2021,N,Final,1400,1200,200,13.7,2023
Sonoma city,Sub-County Place,2018,February,02/2018,N,Final,5400,5200,100,2.7,2023
Sonoma County,County,2013,April,04/2013,N,Final,245200,227700,17500,7.1,2023
Barstow city,Sub-County Place,2024,April,04/2024,N,Final,10300,9700,600,5.4,2023
Contra Costa County,County,2022,October,10/2022,N,Final,548800,530100,18800,3.4,2023
Raisin City CDP,Sub-County Place,2021,December,12/2021,N,Final,100,100,0,28.3,2023
Live Oak city,Sub-County Place,2020,April,04/2020,N,Final,3800,3300,500,12.0,2023
Delhi CDP,Sub-County Place,2021,June,06/2021,N,Final,5000,4400,600,11.1,2023
Visalia-Porterville MSA,Metropolitan Area,2016,April,04/2016,N,Final,207400,184700,22700,11.0,2023
Contra Costa County,County,1993,March,03/1993,N,Final,442200,412600,29600,6.7,2023
Baldwin Park city,Sub-County Place,2018,November,11/2018,N,Final,34900,33300,1600,4.6,2023
Fillmore city,Sub-County Place,2011,November,11/2011,N,Final,8200,7500,600,7.8,2023
Coronado city,Sub-County Place,2023,April,04/2023,N,Final,8100,7900,200,2.9,2023
Sausalito city,Sub-County Place,2012,May,05/2012,N,Final,4300,4000,300,7.4,2023
San Buenaventura (Ventura) city,Sub-County Place,2014,August,08/2014,N,Final,56200,52200,4000,7.2,2023
Hydesville CDP,Sub-County Place,2014,December,12/2014,N,Final,400,400,0,0.0,2023
McCloud CDP,Sub-County Place,2020,April,04/2020,N,Final,310,270,40,12.4,2023
Burney CDP,Sub-County Place,2022,February,02/2022,N,Final,1000,900,100,11.2,2023
Markleeville CDP,Sub-County Place,2014,August,08/2014,N,Final,40,40,0,0.0,2023
Escondido city,Sub-County Place,2018,April,04/2018,N,Final,68700,66600,2000,3.0,2023
Ridgecrest city,Sub-County Place,2015,May,05/2015,N,Final,14300,13300,1000,6.9,2023
Kern County,County,1995,July,07/1995,N,Final,284400,247400,37000,13.0,2021
Calaveras County,County,2013,April,04/2013,N,Final,19970,17950,2020,10.1,2023
Escalon city,Sub-County Place,2017,January,01/2017,N,Final,3200,2900,300,9.2,2023
Los Angeles County,County,2022,August,08/2022,Y,Final,4975000,4767400,207600,4.2,2023
Yorba Linda city,Sub-County Place,2015,June,06/2015,N,Final,34300,32900,1400,4.1,2023
Port Hueneme city,Sub-County Place,2011,August,08/2011,N,Final,10800,9400,1500,13.5,2023
Placer County,County,2014,May,05/2014,N,Final,174400,163700,10700,6.1,2023
Sierra Madre city,Sub-County Place,2024,January,01/2024,N,Final,6100,5800,200,3.9,2023
Mentone CDP,Sub-County Place,2021,September,09/2021,N,Final,4600,4500,200,3.5,2023
Calaveras County,County,2015,October,10/2015,N,Final,20500,19300,1200,5.9,2023
Taft Heights CDP,Sub-County Place,2017,January,01/2017,N,Final,700,600,100,11.8,2023
West Point CDP,Sub-County Place,2011,June,06/2011,N,Final,270,270,0,0.0,2023
Ridgemark CDP,Sub-County Place,2014,April,04/2014,N,Final,1200,1200,100,5.0,2023
Easton CDP,Sub-County Place,2018,January,01/2018,N,Final,1100,1100,100,6.5,2023
Santa Maria-Santa Barbara MSA,Metropolitan Area,1992,September,09/1992,N,Final,188900,174600,14200,7.5,2021
Bystrom CDP,Sub-County Place,2020,June,06/2020,N,Final,1500,1100,400,24.1,2023
Meadow Valley CDP,Sub-County Place,2013,April,04/2013,N,Final,150,150,0,0.0,2023
Rocklin city,Sub-County Place,2023,January,01/2023,N,Final,34900,33700,1200,3.4,2023
San Fernando city,Sub-County Place,2024,June,06/2024,N,Final,11800,11300,500,4.5,2023
Millbrae city,Sub-County Place,2010,May,05/2010,N,Final,11600,10600,1000,8.6,2023
Rolling Hills Estates city,Sub-County Place,2010,June,06/2010,N,Final,3300,2900,400,12.7,2023
Patterson city,Sub-County Place,2023,May,05/2023,N,Final,10800,10200,600,5.2,2023
Placer County,County,2017,January,01/2017,N,Final,180400,172100,8300,4.6,2023
Palermo CDP,Sub-County Place,2018,June,06/2018,N,Final,2100,2000,100,5.5,2023
Squaw Valley CDP,Sub-County Place,2011,July,07/2011,N,Final,1000,1000,0,3.3,2023
San Ardo CDP,Sub-County Place,2019,December,12/2019,N,Final,300,300,100,22.3,2023
Port Costa CDP,Sub-County Place,2023,April,04/2023,N,Final,100,100,0,5.4,2023
King City city,Sub-County Place,2012,August,08/2012,N,Final,5600,5200,400,7.4,2023
Antioch city,Sub-County Place,2015,March,03/2015,N,Final,50300,46600,3700,7.4,2023
Yorba Linda city,Sub-County Place,2011,September,09/2011,N,Final,33600,30900,2800,8.2,2023
Santa Rosa city,Sub-County Place,2011,April,04/2011,N,Final,84700,75100,9600,11.3,2023
El Centro city,Sub-County Place,2018,December,12/2018,N,Final,18500,15900,2600,14.0,2023
Oceano CDP,Sub-County Place,2023,June,06/2023,N,Final,3300,3300,100,2.1,2023
Orland city,Sub-County Place,2015,October,10/2015,N,Final,3700,3480,220,5.8,2023
Round Valley CDP,Sub-County Place,2020,February,02/2020,N,Final,200,200,0,0.0,2023
Los Angeles-Long Beach-Glendale MD,Metropolitan Area,1978,January,01/1978,Y,Final,3510977,3248508,262469,7.5,2020
San Pablo city,Sub-County Place,2015,November,11/2015,N,Final,13800,12800,1000,7.1,2023
Lake Arrowhead CDP,Sub-County Place,2024,June,06/2024,N,Final,4500,4300,200,4.5,2023
Lakeland Village CDP,Sub-County Place,2022,February,02/2022,N,Final,5500,5300,200,4.0,2023
Blythe city,Sub-County Place,2023,July,07/2023,N,Final,4700,4500,300,5.5,2023
Newman city,Sub-County Place,2019,May,05/2019,N,Final,5800,5400,400,7.4,2023
Kettleman City CDP,Sub-County Place,2016,June,06/2016,N,Final,500,400,0,3.5,2023
Linden CDP,Sub-County Place,2021,August,08/2021,N,Final,900,700,100,14.0,2023
Walnut city,Sub-County Place,2023,February,02/2023,N,Final,15800,15200,600,3.9,2023
Squirrel Mountain Valley CDP,Sub-County Place,2015,May,05/2015,N,Final,300,200,100,23.1,2023
Belden CDP,Sub-County Place,2017,April,04/2017,N,Final,0,0,0,0.0,2023
Boulder Creek CDP,Sub-County Place,2012,November,11/2012,N,Final,2900,2400,500,18.9,2023
Buttonwillow CDP,Sub-County Place,2013,May,05/2013,N,Final,400,300,100,13.7,2023
Calistoga city,Sub-County Place,2013,April,04/2013,N,Final,2300,2300,100,3.4,2023
East Quincy CDP,Sub-County Place,2019,February,02/2019,N,Final,1080,1060,20,1.8,2023
Portola city,Sub-County Place,2015,April,04/2015,N,Final,770,680,90,11.4,2023
San Luis Obispo County,County,2015,April,04/2015,N,Final,139500,133100,6300,4.5,2023
Delleker CDP,Sub-County Place,2023,August,08/2023,N,Final,210,170,40,17.9,2023
Hanford city,Sub-County Place,2015,December,12/2015,N,Final,24300,22000,2300,9.4,2023
South San Francisco city,Sub-County Place,2018,July,07/2018,N,Final,39300,38400,1000,2.5,2023
Ione city,Sub-County Place,2010,April,04/2010,N,Final,2470,2330,130,5.4,2023
Lake Forest city,Sub-County Place,2012,November,11/2012,N,Final,44500,42200,2300,5.2,2023
Ontario city,Sub-County Place,2015,July,07/2015,N,Final,81500,75700,5800,7.1,2023
Parksdale CDP,Sub-County Place,2016,August,08/2016,N,Final,1000,800,200,17.8,2023
Stallion Springs CDP,Sub-County Place,2010,February,02/2010,N,Final,800,800,100,6.8,2023
Hillsborough town,Sub-County Place,2022,June,06/2022,N,Final,5600,5400,100,2.4,2023
Moreno Valley city,Sub-County Place,2012,April,04/2012,N,Final,87400,76900,10600,12.1,2023
Weed city,Sub-County Place,2018,July,07/2018,N,Final,1030,960,60,6.2,2023
Hanford-Corcoran MSA,Metropolitan Area,2013,March,03/2013,N,Final,58000,49100,8900,15.4,2023
Sierra County,County,2016,November,11/2016,N,Final,1300,1220,80,6.3,2023
San Anselmo town,Sub-County Place,2021,May,05/2021,N,Final,6700,6500,300,4.3,2023
Mono County,County,1996,March,03/1996,N,Final,6400,5890,500,7.9,2021
Mendocino County,County,1999,July,07/1999,N,Final,42170,39750,2410,5.7,2021
Alondra Park CDP,Sub-County Place,2022,June,06/2022,N,Final,4000,3800,100,3.2,2023
McKinleyville CDP,Sub-County Place,2010,August,08/2010,N,Final,7600,7100,500,7.2,2023
Los Gatos town,Sub-County Place,2015,August,08/2015,N,Final,15600,15100,400,2.8,2023
Boyes Hot Springs CDP,Sub-County Place,2013,February,02/2013,N,Final,3500,3300,200,5.3,2023
